vid,description,name,status,group
2065,TMS - Canal Docs - TX,TMS_-_Canal_Docs_-_TX-2065,active,ZZ_contrib TDF
2317,TMS - BFM Lyon,TMS_-_BFM_Lyon-2317,active,ZZ_contrib TDF
2318,TMS - BFM Lyon,TMS_-_BFM_Lyon-2318,active,ZZ_contrib TDF
2411,Eutelsat - TX,Eutelsat_-_TX-2411,active,ZZ_contrib TDF
2412,Eutelsat - TX,Eutelsat_-_TX-2412,active,ZZ_contrib TDF
2413,Overon - TX,Overon_-_TX-2413,active,ZZ_contrib TDF
2414,telecom Austria,telecom_Austria-2414,active,ZZ_contrib TDF
2415,telecom Austria,telecom_Austria-2415,active,ZZ_contrib TDF
2416,Clubbing,Clubbing-2416,active,ZZ_contrib TDF
2417,RedBee NL - Voie Backup,RedBee_NL_-_Voie_Backup-2417,active,ZZ_contrib TDF
2418,British Telecom Paris 2 - TX,British_Telecom_Paris_2_-_TX-2418,active,ZZ_contrib TDF
2419,British Telecom Paris 1 - TX,British_Telecom_Paris_1_-_TX-2419,active,ZZ_contrib TDF
2420,POST-Luxembourg,POST-Luxembourg-2420,active,ZZ_contrib TDF
2421,Amazon - TX,Amazon_-_TX-2421,active,ZZ_contrib TDF
2422,Amazon - TX,Amazon_-_TX-2422,active,ZZ_contrib TDF
2423,Amazon - TX,Amazon_-_TX-2423,active,ZZ_contrib TDF
2424,Amazon - TX,Amazon_-_TX-2424,active,ZZ_contrib TDF
2425,OpenPlayout - RXTX,OpenPlayout_-_RXTX-2425,active,ZZ_contrib TDF
2426,REDBEE-NL-NEW-RX,REDBEE-NL-NEW-RX-2426,active,ZZ_contrib TDF
2427,ARTE France,ARTE_France-2427,active,ZZ_contrib TDF
2428,SFR - TX - voie Main,SFR_-_TX_-_voie_Main-2428,active,ZZ_contrib TDF
2429,SFR - TX - voie Backup,SFR_-_TX_-_voie_Backup-2429,active,ZZ_contrib TDF
2430,SFR - RX - voie Main,SFR_-_RX_-_voie_Main-2430,active,ZZ_contrib TDF
2431,SFR - RX - voie Backup,SFR_-_RX_-_voie_Backup-2431,active,ZZ_contrib TDF
2432,Free RX TX,Free_RX_TX-2432,active,ZZ_contrib TDF
2433,FTV Roland Garros RX,FTV_Roland_Garros_RX-2433,active,ZZ_contrib TDF
2434,MediaChoice,MediaChoice-2434,active,ZZ_contrib TDF
2435,MediaLogistika,MediaLogistika-2435,active,ZZ_contrib TDF
2533,FTV RG 2021,FTV_RG_2021-2533,active,ZZ_contrib TDF
2550,Eutelsat - TX1,Eutelsat_-_TX1-2550,active,ZZ_contrib TDF
2552,Eutelsat DRD Rambouillet - RX,Eutelsat_DRD_Rambouillet_-_RX-2552,active,ZZ_contrib TDF
2555,Eutelsat - RX,Eutelsat_-_RX-2555,active,ZZ_contrib TDF
2633,FTV Roland Garros RX backup,FTV_Roland_Garros_RX_backup-2633,active,ZZ_contrib TDF
2840,ZIXI - RX,ZIXI_-_RX-2840,active,ZZ_contrib TDF
2841,Canal - TX,Canal_-_TX-2841,active,ZZ_contrib TDF
2842,Arqiva -TX,Arqiva_-TX-2842,active,ZZ_contrib TDF
3078,LCP-PS - TX,LCP-PS_-_TX-3078,active,ZZ_contrib TDF
3128,Advaleme M6 3128,Advaleme_M6_3128-3128,active,ZZ_contrib TDF
3129,Advaleme M6 3129,Advaleme_M6_3129-3129,active,ZZ_contrib TDF
3323,Advaleme,Advaleme-3323,active,ZZ_contrib TDF
3908,Synchroscreen Radio Allemandes - TX,Synchroscreen_Radio_Allemandes_-_TX-3908,active,ZZ_contrib TDF
2816,Lagardère TX,Lagardère_TX-2816,active,ZZ_contrib TDF
3112,,3112-3112,active,ZZ_contrib TDF
3217,,3217-3217,active,ZZ_contrib TDF
6,,SW-NETCORE-RMV-6,active,TDF
109,,OSPF_MTH-109,active,TDF
231,,MCAST-B2M-231,active,TDF
264,,CJI_RMV-E2-1_MCAST-264,active,TDF
265,,CJI_RMV-E2-2_MCAST-265,active,TDF
300,,WHESTONE-300,active,TDF
332,,VRFRXTX-SMJ-332,active,TDF
515,,ARQUIVA-515,active,TDF
549,,SL3-RMV-P3D6-mcast-1_2_to_SW-RMV-549,active,TDF
720,,INTERNET_MEDIAMOBILE_1-720,active,TDF
725,,INTERNET_MEDIAMOBILE_2-725,active,TDF
800,,INTERNET_NRJ-800,active,TDF
1857,,ADMIN-IPTV-1857,active,TDF
1863,,PRA_OCS_INTERSW_NetCore_-1863,active,TDF
1864,,PRA_GULLI_INTERSW_NetCore_-1864,active,TDF
1865,,PRA_FTV_INTERSW_NetCore_-1865,active,TDF
1866,,PRA_FMM_INTERSW_NetCore_-1866,active,TDF
2128,,ADMIN-MTH-2128,active,TDF
2152,,ADMIN_B2M-2152,active,TDF
2656,,ACCES-DIVA-BRANE-2656,active,TDF
2827,,PRA_GULLI_C4M_NAS-2827,active,TDF
2856,,PRA_OCS_INTERCO_vFW-DSI-2856,active,TDF
2857,,INTERCO-RMV-ICNX-PRA-OCS-2857,active,TDF
2866,,PRA_FTV-C4M-STOCKAGE-2866,active,TDF
2868,,PRA_FTV_INTERCO_vFW-DSI-2868,active,TDF
2869,,PRA_FMM_INTERCO_vFW-DSI-2869,active,TDF
2897,,INTERCO-MAM-BRANE-2897,active,TDF
2942,,MCAST-CLOUD-DSI-2942,active,TDF
2956,,CLOUD_IPPLAY-2956,active,TDF
2981,,MULTICAST-ADVALEM_PROD_RMV-2981,active,TDF
2990,,PRA_NTP-2990,active,TDF
3002,,THEMA_PUB-3002,active,TDF
3115,,PRA_OCS_CJI-6th-flr_MCAST_JEPEG-3115,active,TDF
3140,,QUALIF_HABILLAGE-3140,active,TDF
3179,,ARQUIVA_ADMIN_VPN-3179,active,TDF
3214,,Dante-CJI-ISSY-3214,active,TDF
3305,,AKA-RMV-R00_SL3-RMV-E2-1_MCAST-3305,active,TDF
3306,,AKA-RMV-R01_SL3-RMV-E2-2_MCAST-3306,active,TDF
3309,,AKA-RMV-R00_SL3-RMV-P3D6-MCAST-1-3309,active,TDF
3310,,AKA-RMV-R01_SL3-RMV-P3D6-MCAST-2-3310,active,TDF
3800,,PRA_GULLI_DATA-3800,active,TDF
3801,,PRA_GULLI_ADMIN-3801,active,TDF
3802,,PRA_GULLI_STREAM-3802,active,TDF
3805,,PRA_OCS_POLARIS-3805,active,TDF
3806,,PRA_OCS_MAMDIFF-3806,active,TDF
3808,,PRA_FTV_Mcast_RTMP-3808,active,TDF
3901,,PRA_FTV-ADMIN-HOSTS-3901,active,TDF
3902,,PRA_FMM_ADMIN_ARKENA-3902,active,TDF
3904,,PRA_FMM_MCAST_TH2-3904,active,TDF
3905,,PRA_FMM_MCAST-3905,active,TDF
3906,,PRA_FMM_INTERCO_FW_DPR-3906,active,TDF
3907,,PRA_FMM_DATA-3907,active,TDF
3909,,PRA_FTV_MAST-3909,active,TDF
4010,,INTERC_STRMSH_NETCORE-4010,active,TDF
4027,,INTX_CPLUS_ATLAS-4027,active,TDF
4028,,RIEDEL-INTERCO-CPLUS-4028,active,TDF
4094,,INTERSWITCH-NETCORE-4094,active,TDF
616,,PTVAMD-MCL2-616,active,ZZ_contrib TDF
2957,, rxtx OUT CES -2957,active,TDF
3123,, rxtx OUT RMV -3123,active,TDF
10,,PRA FTV RADIO ADM-10,active,ZZ_contrib TDF
3116,,PRA FMM RADIO-3116,active,TDF
3108,,PRA-FMM DMZ-3108,active,TDF
3118,,PRA FMM GLOBAL-3118,active,TDF
3117,,PRA-FMM TV-3117,active,TDF
3120,,PRA FMM MCAST TV-3120,active,TDF
3119,,PRA-FMM MCAST RADIO-3119,active,TDF
3151,,PRA FMM MCAST AES-67-3151,active,TDF
2,,NETWORK-2,active,00_MLB
3,,ILO_DRAC-3,active,00_MLB
4,,ADMIN_PROMISCUOUS-4,active,00_MLB
5,,ADMIN_ISOLATED-5,active,00_MLB
6,,ADMIN_COMMUNITY_1-6,active,00_MLB
51,,PRO_SMJ_MAIN-51,active,00_MLB
52,,PRO_SMJ_STORAGE-52,active,00_MLB
53,,PRO_SMJ_DMZ-53,active,00_MLB
54,,PRO_CJI_MAIN-54,active,00_MLB
55,,PRO_CJI_DMZ-55,active,00_MLB
56,,PRO_COMMON_DMZ-56,active,00_MLB
57,,PRO_COMMON_KARAJAN-57,active,00_MLB
900,,PROD_LAST_RESERVED-900,active,00_MLB
1501,,PPD_COMMON_DMZ-1501,active,00_MLB
1502,,PPD_COMMON_KARAJAN-1502,active,00_MLB
1503,,PPD_COMMON_TRANSCO-1503,active,00_MLB
1504,,PPD_COMMON_MAIN-1504,active,00_MLB
1505,,PPD_COMMON_RECEPT-1505,active,00_MLB
1506,,PPROD_P3_MAIN-1506,active,00_MLB
1507,,PPROD_P3_DMZ-1507,active,00_MLB
2500,,PPROD_LAST_RESERVED-2500,active,00_MLB
3001,,QA_GLB_MAIN-3001,active,00_MLB
3002,,QA_GLB_DMZ-3002,active,00_MLB
4001,,DELL-4001,active,00_MLB
3601,PEBBLE + PROD,MCAST_CANALD3_MPEG_1-3601,active,00_MLB
3800,,MULTICAST_LAST_RESERVED-3800,active,00_MLB
3100,,QA_LAST_RESERVED-3100,active,00_MLB
3174,Multicast,DCM RMV_-_Brane RMV-3174,active,TDF
30,,PSDA-FTV-AAA-AD-VLAN30-30,active,TDF-PSDAFTV
