vlan.vid,prefix,vlan_group,status,description,is_pool
,95.81.146.112/28,,active,SNL_PUBLIC - vlan2887 - public.woode,True
3114,172.16.114.0/24,TDF,active,SNL COCKPIT N1,True
,10.8.7.0/24,,active,SMC-1,True
,10.55.0.0/16,,active,ADBS,True
,10.55.1.0/24,,active,ADBS Anycast,True
,10.55.11.0/24,,active,Pool A,True
,10.55.12.0/24,,active,Pool B,True
,10.201.0.0/16,,active,Office,True
,10.201.0.0/21,,active,OFFICE-IVR-USERS,True
,10.201.8.0/23,,active,OFFICE-IVR-GUESTS,True
,10.201.10.0/24,,active,OFFICE-IVR-PRINTERS,True
,10.201.11.0/24,,active,OFFICE-IVR-LIMITED,True
,10.201.43.0/24,,active,OFFICE-CJI-LIMITED,True
,172.20.4.0/23,,active,OFFICE-CJI-LEGACY,True
,213.205.126.96/28,,active,ZoneSHA,True
,10.69.0.0/24,,active,ADM Services,True
,10.69.1.0/24,,active,ADM Hypervisors,True
,10.69.2.0/24,,active,ADM Unused 1,True
,10.69.3.0/24,,active,ADM Unused 2,True
,10.69.4.0/24,,active,LAB Services,True
,10.69.5.0/24,,active,LAB CI,True
,10.69.6.0/24,,active,LAB Staging,True
,10.69.7.0/24,,active,LAB Unused,True
,10.69.8.0/24,,active,CDN Services,True
,10.69.9.0/24,,active,CDN CI,True
,10.69.10.0/24,,active,CDN Staging,True
,10.69.10.0/28,,active,CDN Staging 0,True
,10.69.10.16/28,,active,CDN Staging 1,True
,10.69.10.32/28,,active,CDN Staging 2,True
,10.69.10.48/28,,active,CDN Staging 3,True
,10.69.10.64/28,,active,CDN Staging 4,True
,10.69.10.80/28,,active,CDN Staging 5,True
,10.69.10.96/28,,active,CDN Staging 6,True
,10.69.10.112/28,,active,CDN Staging 7,True
,10.69.10.128/28,,active,CDN Staging 8,True
,10.69.10.144/28,,active,CDN Staging 9,True
,10.69.10.160/28,,active,CDN Staging A,True
,10.69.10.176/28,,active,CDN Staging B,True
,10.69.10.192/28,,active,CDN Staging C,True
,10.69.10.208/28,,active,CDN Staging D,True
,10.69.10.224/28,,active,CDN Staging E,True
,10.69.10.240/28,,active,CDN Staging F,True
,10.69.11.0/24,,active,CDN Unused,True
,10.69.12.0/24,,active,C4M Services,True
,10.69.13.0/24,,active,C4M CI,True
,10.69.14.0/24,,active,C4M Staging,True
,10.69.14.0/28,,active,C4M Staging 0,True
,10.69.14.16/28,,active,C4M Staging 1,True
669,10.69.14.32/28,TDF,active,C4M Staging 2,True
,10.69.14.48/28,,active,C4M Staging 3,True
,10.69.14.64/28,,active,C4M Staging 4,True
,10.69.14.80/28,,active,C4M Staging 5,True
,10.69.14.96/28,,active,C4M Staging 6,True
,10.69.14.112/28,,active,C4M Staging 7,True
,10.69.14.128/28,,active,C4M Staging 8,True
,10.69.14.144/28,,active,C4M Staging 9,True
,10.69.14.160/28,,active,C4M Staging A,True
,10.69.14.176/28,,active,C4M Staging B,True
,10.69.14.192/28,,active,C4M Staging C,True
,10.69.14.208/28,,active,C4M Staging D,True
,10.69.14.224/28,,active,C4M Staging E,True
,10.69.15.0/24,,active,C4M Unused,True
,10.69.16.0/24,,active,VP Services,True
,10.69.17.0/24,,active,VP CI,True
,10.69.18.0/24,,active,VP Staging,True
,10.69.18.0/28,,active,VP Staging 0,True
,10.69.18.16/28,,active,VP Staging 1,True
,10.69.18.32/28,,active,VP Staging 2,True
,10.69.18.48/28,,active,VP Staging 3,True
,10.69.18.64/28,,active,VP Staging 4,True
,10.69.18.80/28,,active,VP Staging 5,True
,10.69.18.96/28,,active,VP Staging 6,True
,10.69.18.112/28,,active,VP Staging 7,True
,10.69.18.128/28,,active,VP Staging 8,True
,10.69.18.144/28,,active,VP Staging 9,True
,10.69.18.160/28,,active,VP Staging A,True
,10.69.18.176/28,,active,VP Staging B,True
,10.69.18.192/28,,active,VP Staging C,True
,10.69.18.208/28,,active,VP Staging D,True
,10.69.18.224/28,,active,VP Staging E,True
,10.69.18.240/28,,active,VP Staging F,True
,10.69.19.0/24,,active,VP Unused,True
,10.69.20.0/24,,active,OTT Services,True
,10.69.21.0/24,,active,OTT CI,True
,10.69.22.0/24,,active,OTT Staging,True
,10.69.22.0/27,,active,OTT Staging 0,True
,10.69.22.32/27,,active,OTT Staging 1,True
,10.69.22.64/27,,active,OTT Staging 2,True
,10.69.22.96/27,,active,OTT Staging 3,True
,10.69.22.128/27,,active,OTT Staging 4,True
,10.69.22.160/27,,active,OTT Staging 5,True
,10.69.22.192/27,,active,OTT Staging 6,True
,10.69.22.224/27,,active,OTT Staging 7,True
,10.69.23.0/24,,active,OTT Unused,True
,10.69.24.0/24,,active,CUS Services,True
,10.69.25.0/24,,active,CUS CI,True
,10.69.26.0/24,,active,CUS Staging,True
,10.69.26.0/28,,active,CUS Staging 0,True
,10.69.26.16/28,,active,CUS Staging 1,True
,10.69.26.32/28,,active,CUS Staging 2,True
,10.69.26.48/28,,active,CUS Staging 3,True
,10.69.26.64/28,,active,CUS Staging 4,True
,10.69.26.80/28,,active,CUS Staging 5,True
,10.69.26.96/28,,active,CUS Staging 6,True
,10.69.26.112/28,,active,CUS Staging 7,True
,10.69.26.128/28,,active,CUS Staging 8,True
,10.69.26.144/28,,active,CUS Staging 9,True
,10.69.26.160/28,,active,CUS Staging A,True
,10.69.26.176/28,,active,CUS Staging B,True
,10.69.26.192/28,,active,CUS Staging C,True
,10.69.26.208/28,,active,CUS Staging D,True
,10.69.26.224/28,,active,CUS Staging E,True
,10.69.26.240/28,,active,CUS Staging F,True
,10.69.27.0/24,,active,CUS Unused,True
,10.69.28.0/22,,active,INFRA Environment,True
,10.69.30.0/24,,active,INFRA Unused,True
,10.69.31.0/24,,active,SNL TMP,True
,10.69.32.0/22,,active,COMMON Environment,True
,10.69.36.0/22,,active,DRM Environment,True
,10.69.36.0/24,,active,DRM Services,True
,10.69.37.0/24,,active,DRM CI,True
,10.69.38.0/24,,active,DRM Staging,True
,10.69.38.0/27,,active,DRM Staging 0,True
,10.69.38.32/27,,active,DRM Staging 1,True
,10.69.38.64/27,,active,DRM Staging 2,True
,10.69.38.96/27,,active,DRM Staging 3,True
,10.69.38.128/27,,active,DRM Staging 4,True
,10.69.38.160/27,,active,DRM Staging 5,True
,10.69.38.192/27,,active,DRM Staging 6,True
,10.69.38.224/27,,active,DRM Staging 7,True
,10.69.39.0/24,,active,DRM Unused,True
,10.69.40.0/22,,active,POP1 Unused Environment,True
,10.69.44.0/22,,active,POP1 Unused Environment,True
,10.69.48.0/22,,active,POP1 Unused Environment,True
,10.69.52.0/22,,active,POP1 Unused Environment,True
,10.69.56.0/22,,active,POP1 Unused Environment,True
,10.69.60.0/22,,active,POP1 Unused Environment,True
,10.69.64.0/18,,active,POP2 Unused,True
,10.69.128.0/18,,active,POP3 Unused,True
,10.69.192.0/18,,active,POP3 Unused,True
,10.56.0.0/28,,active,ITX2 Network devices for Dataminer,True
,10.56.0.16/28,,active,RMV Network devices for Dataminer,True
56,10.56.4.0/25,TDF,active,TH2 sur cpe-th2-1-old et sw-contrib-th2-*,True
,10.56.4.128/25,,active,TH2 sur cpe-th2-1-new,True
,10.56.13.0/30,,active,IPTV_ADMIN_DCM_RMV (TransfoNet Arkena BB),True
,10.56.200.0/29,,active,passerelle_Nokia_Brocade_RMV,True
,10.56.255.8/29,,active,SW-CORE-ITX2  RO-ITX2,True
,10.56.255.16/29,,active,SW-CORE-RMV  RO-RMV,True
,10.56.255.24/29,,active,IPPLAY INTERCO,True
,10.56.255.32/29,,active,SPV - MONITORING,True
,10.56.255.40/29,,active,INTERCO_RMV_ITX2,True
,95.81.145.192/26,,active,LBZ Net Output,True
,95.81.146.0/27,,active,Public Interco ORIGIN ITX2 Ingest,True
,95.81.146.32/27,,active,Public Interco ORIGIN RMV Ingest,True
,95.81.146.88/29,,active,CDNWEB ITX2 INTERNET,True
,95.81.146.96/29,,active,CDNWEB RMV INTERNET,True
,95.81.147.0/24,,active,CDN GEO Paris 02 (Romainville),True
,95.81.147.192/26,,active,INPUT ROMAINVILLE,True
,95.81.154.0/24,,active,CDN GEO Helsinki 01 (Radiokatu),True
,95.81.154.144/28,,active,QBRICK_STREAMER_2,True
,95.81.154.160/28,,active,QBRICK_STREAMER,True
,95.81.154.192/26,,active,INPUT RADIOKATU,True
,95.81.155.0/24,,active,CDN GEO Paris 03 (Interxion2),True
,95.81.155.192/26,,active,INPUT INTERXION2,True
,95.81.159.0/24,,active,CDN GEO Preprod,True
,95.81.159.192/26,,active,INPUT PREPROD,True
,91.209.15.0/24,,active,ITX2_PUBLIC_CORE,True
,91.209.15.240/28,,active,US,True
,95.81.145.0/28,,active,VPNRXTX_C4M_PROD,True
,213.205.126.0/27,,active,RXTX_PUBLIC_ITX2,True
,213.205.126.120/29,,active,zixi_pub,True
,91.197.164.0/27,,active,SHA-RMV-2,True
,91.197.165.0/27,,active,SHA-ITX-3,True
,95.81.173.0/27,,active,SHA-ITX2-1,True
,95.81.173.32/27,,active,DMA-1 (ITX2),True
,95.81.173.64/27,,active,SHA-RMV-1,True
,95.81.173.96/27,,active,DMA-2 (RMV),True
,95.81.173.160/27,,active,DMA-3 (ITX2),True
,95.81.173.224/27,,active,DMA-5,True
,224.0.0.0/4,,active,Contrib RX-TX A TRIER,True
,239.180.9.0/24,,active,mcast_radio_PRA-FMM,True
,239.180.28.0/24,,active,mcast_radio_contrib,True
,239.182.9.0/24,,active,mcast_PRA-FMM,True
,239.182.11.0/24,,active,mcast_VM_Brane_IPPlay,True
,239.182.25.0/24,,active,mcast_out_regie_Lagardere_RMV_sd,True
,239.182.26.0/24,,active,mcast_flux_monitoringSD_regie_Lagardere_RMV,True
,239.182.28.0/24,,active,mcast_tv_sd_contrib,True
,239.182.29.0/24,,active,mcast_b2m,True
,239.182.30.0/24,,active,mcast_contrib_Gbe2.cji.fr,True
,239.182.37.0/24,,active,????,True
,239.182.38.0/24,,active,????,True
,239.182.40.0/24,,active,mcast_out_regie_Africa 24_RMV_sd,True
,239.182.42.0/24,,active,mcast _transco_FTTH,True
